"occtype","sqft","bldgtype","yrbuilt","x","y","val_struct","val_cont"
"COM1",800,"W",0,-98.2375946,47.542419433,130526.454,130526.454
"COM1",800,"M",0,-98.46857452,47.427936553,130526.454,130526.454
"COM1",800,"S",0,-98.18945312,47.266628265,130526.454,130526.454
"COM1",800,"M",0,-98.12171936,47.442073822,130526.454,130526.454
"COM1",800,"M",0,-98.1240921,47.445377349,130526.454,130526.454
"COM1",800,"S",0,-98.12310028,47.444396972,130526.454,130526.454
"COM1",800,"M",0,-98.13313293,47.44133377,130526.454,130526.454
"COM1",800,"S",0,-98.12638854,47.44801712,130526.454,130526.454
"RES1-2SNB",1450.82,"W",0,-103.0105235,48.8889455,173647.085,86823.5427
"RES1-2SNB",2827.68,"W",0,-103.0124259,48.889748762,255338.024,127669.012
"RES1-2SNB",5971.62,"W",0,-103.0166827,48.850196069,429526.683,214763.341
"RES1-2SNB",8699.32,"W",0,-103.0039837,48.768329972,625724.688,312862.344
"RES1-2SNB",12733.36,"W",0,-103.0020515,48.696889,915885.118,457942.559
"RES1-2SNB",1826.854,"W",0,-103.1695315,48.738816,200499.392,100249.696
"COM1",22152,"C",0,-103.1732223,48.697932757,2209648.32,2209648.32
"COM1",4088.88888,"S",0,-103.2916455,48.920979,591219.636,591219.636
"RES1-2SNB",3004.18,"W",0,-103.3019293,48.913825717,265978.806,132989.403
"RES1-2SNB",23509.8,"W",0,-103.2883289,48.907737158,1691012.89,845506.447
"RES1-2SNB",2872.6,"W",0,-103.269493,48.8496605,258105.195,129052.597
"RES1-2SNB",4379.12,"W",0,-103.2893415,48.914089543,344755.246,172377.623
"RES1-2SNB",1216.254,"W",0,-103.289093,48.9143325,109702.607,54851.3035
"RES1-2SNB",6850.96,"W",0,-103.3130705,48.910165,369581.888,184790.944
"RES1-2SNB",17481.22,"W",0,-103.973856,48.644637626,1257389.19,628694.596
"RES1-2SNB",5584.18,"W",0,-102.9637757,48.774600936,402100.165,201050.082
"RES1-2SNB",689.504,"W",0,-103.0065564,48.88813969,88627.4651,44313.7325
"COM1",919.115362,"M",0,-103.2944117,48.91425852,146268.169,146268.169
"COM1",3707.25,"W",0,-103.29703,48.906270611,553929.868,553929.868
"RES1-2SNB",6210.7,"W",0,-103.4524002,48.849203029,446723.229,223361.614
"RES1-2SNB",6032.9,"W",0,-104.0205115,48.8379495,433934.431,216967.215
"RES1-2SNB",5788.44,"W",0,-103.007015,48.86667,416350.912,208175.456
"COM1",7926,"C",0,-103.297126,48.9077055,1281062.9,1281062.9
"COM1",788.342068,"S",0,-103.2978565,48.907471,125456.886,125456.886
"RES1-2SNB",7783.64,"W",0,-103.923006,48.746486,559861.657,279930.828
"RES1-2SNB",5503.56,"W",0,-103.0603132,48.653576155,398511.226,199255.613
"COM1",873.088955,"W",0,-103.2941225,48.913145,132100.423,132100.423
"COM1",3573.71428,"M",0,-103.2939054,48.913701776,540537.282,540537.282
"RES1-2SNB",5937,"W",0,-103.7120698,48.707206249,427036.536,213518.268
"RES1-2SNB",10121.34,"W",0,-104.014921,48.9260225,728007.743,364003.871
"COM1",16399.6914,"S",0,-103.2993877,48.91598242,1427206.04,1427206.04
"RES1-2SNB",3358.3,"W",0,-103.2962646,48.908606652,212503.405,106251.702
"RES1-2SNB",1121.44,"W",0,-103.4856545,48.9537015,101575.549,50787.7747
"RES1-2SNB",9827.22,"W",0,-103.7217737,48.745792655,706852.28,353426.14
"RES1-2SNB",2224.82,"W",0,-103.297383,48.9151355,163087.588,81543.7943
"COM1",4053.75,"S",0,-103.3008913,48.909622246,587423.996,587423.996
"RES1-2SNB",13480.06,"W",0,-103.3753132,48.689466217,969593.755,484796.877
"RES1-2SNB",4588.3,"W",0,-103.6319804,48.754138991,354831.234,177415.617
"COM1",2450.5801,"M",0,-103.2962765,48.911093145,465792.471,465792.471
"COM1",8068.9756,"C",0,-103.2449116,48.893314014,974734.551,974734.551
"COM1",8177.77777,"S",0,-103.2972675,48.909323645,766533.112,766533.112
"COM1",400,"C",0,-103.8058715,48.64801347,63656.0657,63656.0657
"COM1",800,"W",0,-103.4855957,48.952617645,139002.197,139002.197
"COM1",1143.62,"M",0,-100.1266563,47.474750179,185726.607,185726.607
"COM1",800.127964,"M",0,-100.127712,47.4746335,130547.332,130547.332
"RES1-2SNB",2601.7,"W",0,-100.1217751,47.476256613,169724.301,84862.1507
"COM1",3232.87,"W",0,-100.4430455,47.4850655,503226.401,503226.401
"RES1-2SNB",7352.34,"W",0,-100.128826,47.834527,500634.358,250317.179
"RES1-2SNB",1982.73,"W",0,-100.440166,47.4802145,143155.825,71577.9128
"COM1",5470.5,"S",0,-100.442247,47.485757594,765616.172,765616.172
"COM1",9200,"M",0,-100.4439775,47.4851365,1187291.14,1187291.14
"RES1-2SNB",2630.3,"W",0,-100.1243893,47.478710422,170760.043,85380.0219
"COM1",4149.62,"S",0,-100.4405145,47.486175,611471.18,611471.18
"COM1",3532.75,"C",0,-100.4400464,47.488244803,539728.69,539728.69
"RES1-2SNB",6935.46,"W",0,-100.243144,47.801244,354186.174,177093.087
"RES1-2SNB",29744.2,"W",0,-100.2970174,47.660155407,1519002.98,759501.49
"RES1-2SNB",9969.98,"W",0,-100.372762,47.715922752,509155.712,254577.856
"COM1",559.85267,"C",0,-100.4365762,47.481036107,83662.4212,83662.4212
"COM1",1114.2555,"W",0,-100.4435575,47.487267301,148390.535,148390.535
"COM1",9200,"S",0,-100.405874,47.4878635,1012757.34,1012757.34
"COM1",7076.35009,"W",0,-100.445607,47.487748,1115700.06,1115700.06
"RES1-2SNB",11958.72,"W",0,-100.666617,47.41187,610718.436,305359.218
"RES1-2SNB",6118.9,"W",0,-100.1344748,47.730502122,416647.159,208323.579
"COM1",1200,"W",0,-100.5077021,47.401813279,179323.795,179323.795
"COM1",90609.5564,"W",0,-101.3119318,48.207082506,8234919.72,8234919.72
"COM1",11457.3401,"S",0,-101.3111017,48.206949356,1384077.15,1384077.15
"COM1",79393.9937,"S",0,-101.3091174,48.205714847,7297384.49,7297384.49
"COM1",337558.181,"M",0,-101.3115659,48.206198367,30433687.8,30433687.8
"COM1",42814.0147,"S",0,-101.3107097,48.20833449,4874654.78,4874654.78
"RES1-2SNB",4072.3,"W",0,-101.0267708,48.315780482,268233.096,134116.548
"RES1-2SNB",1994.34,"W",0,-101.0317254,47.918927778,228365.057,114182.528
"RES1-2SNB",4706.12,"W",0,-101.0592555,48.087833132,393873.238,196936.619
"RES1-2SNB",3025.68,"W",0,-101.0593042,48.088657909,292174.162,146087.081
"RES1-2SNB",5450.24,"M",0,-101.03611,48.0593775,433071.433,216535.716
"COM1",1905,"C",0,-101.0843158,47.99235816,344851.156,344851.156
"RES1-2SNB",6805.18,"W",0,-101.1185414,48.094337166,535168.065,267584.032
"RES1-2SNB",2184.82,"W",0,-101.0504935,48.089757817,241685.248,120842.624
"COM1",33698.5,"M",0,-101.3275345,48.414597006,5418469.25,5418469.25
"COM1",9200,"S",0,-101.272517,48.2113075,1441710.67,1441710.67
"RES1-2SNB",3103.52,"W",0,-101.124687,48.240938,297052.154,148526.077
"RES1-2SNB",2860.14,"W",0,-101.1259985,48.2403995,281360.228,140680.114
"RES1-2SNB",3020.52,"W",0,-101.1268772,48.240913795,291846.123,145923.061
"RES1-2SNB",2859.5,"W",0,-101.131098,48.2409025,281317.258,140658.629
"RES1-2SNB",3249.28,"W",0,-101.130812,48.2409025,306413.481,153206.74
"RES1-2SNB",2639.98,"W",0,-101.1332341,48.242345735,269126.858,134563.429
"RES1-2SNB",2833.7,"W",0,-101.136482,48.236699165,279577.588,139788.794
"RES1-2SNB",6822.38,"W",0,-101.1357812,48.236670719,536520.695,268260.347
"RES1-2SNB",2507.96,"W",0,-101.1353557,48.236358572,261695.735,130847.867
"RES1-2SNB",3629.2,"W",0,-101.1360395,48.2362855,332200.771,166100.385
"RES1-2SNB",2656.74,"W",0,-101.1351185,48.225993,270024.85,135012.425
"RES1-2SNB",8533.78,"W",0,-101.1409664,48.227708649,671107.382,335553.691
"RES1-2SNB",4836.64,"W",0,-101.1369317,48.226282522,400522.843,200261.421
"RES1-2SNB",7825.78,"W",0,-101.1436385,48.228300201,615429.356,307714.678
"RES1-2SNB",3208.86,"W",0,-101.140092,48.234046922,303546.235,151773.117
"RES1-2SNB",5954.42,"W",0,-101.1408441,48.231550364,468263.21,234131.605
"RES1-2SNB",4763.54,"W",0,-101.1408757,48.232215727,396687.257,198343.628
"RES1-2SNB",4423.4,"W",0,-101.138209,48.233523135,379317.566,189658.783
"RES1-2SNB",8931.74,"W",0,-101.1396276,48.233688408,702403.466,351201.733
"RES1-2SNB",5103.88,"W",0,-101.1388921,48.2351082,415204.162,207602.081
"RES1-2SNB",4253.12,"W",0,-101.1408488,48.235525835,369989.122,184994.561
"RES1-2SNB",3827.86,"W",0,-101.1393739,48.235820224,344847.982,172423.991
"RES1-2SNB",8931.52,"W",0,-101.1560722,48.094549648,702386.165,351193.082
"RES1-2SNB",3505.78,"W",0,-101.1531939,48.148643156,324054.083,162027.041
"COM1",44997.5786,"S",0,-101.157725,48.1519335,5075934.97,5075934.97
"COM1",1749.5,"M",0,-101.17031,48.16138,298787.599,298787.599
"RES1-2SNB",6443.98,"W",0,-101.1895275,48.079529,506762.835,253381.417
"RES1-2SNB",3519.54,"W",0,-101.1133421,48.111446514,324973.338,162486.669
"COM1",2554.62,"M",0,-101.1321615,48.228653,460988.729,460988.729
"COM1",3517.37,"C",0,-101.1317105,48.22846,573866.592,573866.592
"RES1-2SNB",5500.76,"W",0,-101.1349101,48.214946388,435568.051,217784.025
"RES1-2SNB",8598.28,"W",0,-101.1902735,48.182984315,676179.744,338089.872
"RES1-2SNB",3191.88,"W",0,-101.1698857,48.168814711,302429.001,151214.5
"RES1-2SNB",7372.12,"W",0,-101.1874433,48.178900302,579752.953,289876.476
"RES1-2SNB",303.15,"W",0,-101.1896785,48.203632,42603.1488,21301.5744
