state,yearOfLoss,floodEvent,occupancyType,count,amountPaidOnBuildingClaim,amountPaidOnContentsClaim,amountPaidOnIncreasedCostOfComplianceClaim,buildingDamageAmount,contentsDamageAmount
AL,1979,Hurricane Frederic,1.0,2378,21896494.8,4863298.75,0.0,27982104.0,7967430.0
AL,1979,Hurricane Frederic,2.0,76,674040.33,72784.78,0.0,875694.0,118771.0
AL,1979,Hurricane Frederic,3.0,43,774334.76,37264.95,0.0,880866.0,58181.0
AL,1979,Hurricane Frederic,4.0,364,6625021.18,2846369.9,0.0,10349786.0,5257603.0
AL,1979,Not a named storm,1.0,155,309603.93,105528.98,0.0,357418.0,174083.0
AL,1979,Not a named storm,2.0,11,17194.92,1291.4899999999998,0.0,19463.0,2244.0
AL,1979,Not a named storm,3.0,3,2215.16,679.75,0.0,2616.0,1221.0
AL,1979,Not a named storm,4.0,21,52245.86,18900.37,0.0,63874.0,20891.0
AL,1980,Flooding,1.0,292,1217244.48,809574.92,0.0,1360877.0,1122743.0
AL,1980,Flooding,2.0,1,0.0,0.0,0.0,0.0,0.0
AL,1980,Flooding,3.0,3,4194.299999999999,1677.0,0.0,6931.0,2500.0
AL,1980,Flooding,4.0,22,129784.26000000001,101322.45,0.0,134301.0,106258.0
AL,1981,Flooding,1.0,938,8657859.24,5213451.62,0.0,9900432.0,8157326.0
AL,1981,Flooding,2.0,24,118188.81,36394.24,0.0,134883.0,51935.0
AL,1981,Flooding,3.0,26,529227.21,12042.0,0.0,534643.0,12642.0
AL,1981,Flooding,4.0,113,1624713.84,1407971.52,0.0,2130619.0,1990234.0
AL,1983,Flooding,1.0,215,1219667.97,593853.8,0.0,1430854.0,852062.0
AL,1983,Flooding,2.0,14,89237.1,36792.19,0.0,104915.0,40643.0
AL,1983,Flooding,3.0,9,76659.14,51356.81,0.0,81748.0,76926.0
AL,1983,Flooding,4.0,10,24178.69,240496.13,0.0,36115.0,259835.0
AL,1985,Hurricane Elena,1.0,810,1695024.31,150239.68,0.0,2045134.0,214371.0
AL,1985,Hurricane Elena,2.0,54,92383.58,1172.35,0.0,109817.0,4572.0
AL,1985,Hurricane Elena,3.0,69,395039.31,0.0,0.0,483727.0,0.0
AL,1985,Hurricane Elena,4.0,81,400186.45,187469.92,0.0,461827.0,288967.0
AL,1990,Flooding,1.0,372,4354464.53,901593.23,0.0,5847067.0,1369723.0
AL,1990,Flooding,2.0,6,57879.24,147.2,0.0,112537.0,647.0
AL,1990,Flooding,3.0,9,145926.46,12961.12,0.0,154038.0,13961.0
AL,1990,Flooding,4.0,85,537802.5,686313.87,0.0,856153.0,1294656.0
AL,1990,Flooding,6.0,1,10000.0,3894.57,0.0,10500.0,4395.0
AL,1994,Tropical Storm Alberto,1.0,168,2201159.87,964589.07,0.0,2543861.0,1273525.0
AL,1994,Tropical Storm Alberto,2.0,1,23343.0,0.0,0.0,24094.0,0.0
AL,1994,Tropical Storm Alberto,3.0,8,45591.26,0.0,0.0,52158.0,0.0
AL,1994,Tropical Storm Alberto,4.0,30,298256.79000000004,459015.89,0.0,397739.0,611536.0
AL,1995,Hurricane Opal,1.0,1370,6611213.0,1286708.47,0.0,9116349.0,2158712.0
AL,1995,Hurricane Opal,2.0,118,501507.51,27574.309999999998,0.0,584699.0,33087.0
AL,1995,Hurricane Opal,3.0,172,4206811.66,86859.08,0.0,4524552.0,97728.0
AL,1995,Hurricane Opal,4.0,118,3059204.24,1550539.2,0.0,3557751.0,2094227.0
AL,1995,Hurricane Opal,6.0,3,6346.0,0.0,0.0,7096.0,0.0
